id,繁體字,部首,筆畫,普通話拼音,粵拼,學習階段,字例,相關詞語數目,相關詞語
0840,夫,大,4,fū,fu1〔呼〕,第一學習階段,①她的丈夫 ②丈夫氣概,11,夫人、夫妻、夫婦、夫婿、丈夫、工夫、功夫、哥爾夫球、高爾夫球、船夫、農夫
0841,夭,大,4,yɑ̄o,jiu1〔腰〕,第二學習階段,,1,夭折
0842,央,大,5,yɑ̄ng,joeng1〔秧〕,第一學習階段,,1,中央
0843,失,大,5,shī,sat1〔室〕,第一學習階段,,21,失火、失主、失去、失明、失控、失敗、失望、失意、失業、失誤、失蹤、失戀、丟失、流失、消失、得失、喪失、報失、損失、過失、遺失
0846,夾,大,7,jiɑ̄,gaap3〔甲〕,第一學習階段,,4,夾子、夾雜、萬字夾、曲別針
0847,奉,大,8,fèng,fung6〔鳳〕,第二學習階段,,3,奉命、奉獻、信奉
0848,奇,大,8,qí；jī,kei4〔其〕；gei1〔基〕,第一學習階段,,14,奇妙、奇怪、奇特、奇異、奇景、奇跡、奇數、奇觀、好奇、神奇、稀奇、傳奇、新奇、驚奇
0849,奈,大,8,nɑ̀i,noi6〔內〕,第二學習階段,,2,無可奈何、無奈
0850,奔,大,8,bēn,ban1〔賓〕,第一學習階段,,8,奔走、奔波、奔赴、奔喪、奔跑、奔馳、飛奔、疲於奔命
0853,契,大,9,qì,kai3〔溪3〕,第二學習階段,,2,契約、默契
0854,奏,大,9,zòu,zau3〔咒〕,第一學習階段,,5,四重奏、伴奏、節奏、演奏、獨奏
0857,套,大,10,tɑ̀o,tou3〔吐〕,第一學習階段,,6,套票、套裝、套餐、手套、外套、配套
0860,奢,大,11,shē,ce1〔車〕,第二學習階段,,1,奢侈
0862,奧,大,13,ɑ̀o,ou3〔澳〕,第二學習階段,,1,奧祕
0863,奪,大,14,duó,dyut6〔多月6〕,第一學習階段,,4,奪目、奪取、奪得、爭奪
0865,奮,大,16,fèn,fan5〔憤〕,第一學習階段,,7,奮力、奮勇、奮鬥、奮戰、振奮、勤奮、興奮
0866,女,女,3,nǚ,neoi5〔餒〕,第一學習階段,①這是他的女人 (妻子) ②穿旗袍的女人,21,女人、女士、女子、女友、女生、女兒、女孩、女郎、女婿、子女、少女、仙女、男女、男女老少、男女老幼、兒女、修女、孫女（兒）、婦女、曾孫女（兒）、織女
0867,奴,女,5,nú,nou4〔駑〕,第二學習階段,,1,奴隸
0868,奶,女,5,nɑ̌i,naai5〔乃〕,第一學習階段,,7,奶奶、奶粉、忌廉、奶油、芝士、奶酪、牛奶
0870,奸,女,6,jiɑ̄n,gaan1〔姦〕,第二學習階段,,0,
0871,妃,女,6,fēi,fei1〔非〕,第二學習階段,,1,貴妃
0872,好,女,6,hɑ̌o；hɑ̀o,hou2〔號2〕；hou3〔耗〕,第一學習階段,①良好 ②愛好,30,好友、好手、好比、好吃、好好、好些、好奇、好玩（兒）、好看、好容易、好不容易、好笑、好處、好意、好感、好像、好轉、好聽、不好意思、友好、只好、正好、良好、幸好、恰好、美好、要好、剛好、嗜好、愛好
0873,她,女,6,tɑ̄,taa1〔他〕,第一學習階段,,1,她們
0874,如,女,6,rú,jyu4〔余〕,第二學習階段,,24,如今、如同、如此、如何、如果、若果、如期、如意、如願以償、一如、不如、比如、正如、有如、自如、例如、突如其來、假如、倘若、假若、無論如何、猶如、瞭如指掌、譬如
0875,妒,女,7,dù,dou3〔到〕,第二學習階段,,1,嫉妒
0876,妨,女,7,fɑ́ng,fong4〔房〕,第二學習階段,,2,妨礙、不妨
0884,妙,女,7,miɑ̀o,miu6〔廟〕,第二學習階段,,5,巧妙、奇妙、美妙、莫名其妙、微妙
0885,妖,女,7,yɑ̄o,jiu2〔擾2〕,第一學習階段,,1,妖怪
0886,妥,女,7,tuǒ,to5〔橢〕,第二學習階段,,3,妥協、妥善、妥當
0888,妻,女,8,qī,cai1〔淒〕,第一學習階段,,2,妻子、夫妻
0889,妹,女,8,mèi,mui6〔昧〕,第一學習階段,,5,妹妹、兄妹、姊妹、姐妹、表妹
0891,姑,女,8,gū,gu1〔孤〕,第一學習階段,,3,姑丈、姑母、姑娘
0892,姐,女,8,jiě,ze2〔者〕,第一學習階段,,7,姊妹、姐妹、姊姊、姐姐、小姐、表姊、表姐
0896,委,女,8,wěi,wai2〔毀〕,第二學習階段,,6,委屈、委派、委員、委員會、委託、委婉
0897,姆,女,8,mǔ,mou5〔母〕,第二學習階段,,1,保姆
0898,始,女,8,shǐ,ci2〔此〕,第二學習階段,,5,始祖、始終、原始、貫徹始終、開始
0899,姓,女,8,xìng,sing3〔勝〕,第一學習階段,,3,姓名、百姓、老百姓
0900,姊,女,8,zǐ,zi2〔子〕,第一學習階段,,6,姊妹、姐妹、姊姊、姐姐、表姊、表姐
0904,姿,女,9,zī,zi1〔之〕,第一學習階段,,4,姿勢、姿態、多姿多彩、多彩多姿
0906,姨,女,9,yí,ji4〔而〕,第一學習階段,,3,姨丈、姨母、阿姨
0907,娃,女,9,wɑ́,waa1〔蛙〕,第一學習階段,,2,娃娃、洋娃娃
0908,姥,女,9,lɑ̌o,lou5〔老〕,第一學習階段,,1,姥姥
0909,姪,女,9,zhí,zat6〔疾〕,第一學習階段,,0,
0910,姻,女,9,yīn,jan1〔因〕,第二學習階段,,1,婚姻
0913,威,女,9,wēi,wai1〔為1〕,第一學習階段,,6,威力、威武、威風、威脅、示威、權威
0915,娘,女,10,niɑ́ng,noeng4〔挪良4〕,第一學習階段,,2,姑娘、新娘
0922,娛,女,10,yú,jyu4〔如〕,第二學習階段,,2,娛樂、文娛
0926,婉,女,11,wɑ̌n,jyun2〔宛〕,第二學習階段,,1,委婉
0927,婆,女,11,pó,po4〔破4〕,第一學習階段,,5,婆婆、外婆、老婆、老婆婆、巫婆
0929,婦,女,11,fù,fu5〔父5〕,第一學習階段,,5,婦人、婦女、夫婦、媳婦、寡婦
0931,娶,女,11,qǔ,ceoi2〔取〕,第二學習階段,,0,
0936,婚,女,11,hūn,fan1〔分〕,第一學習階段,,5,婚姻、婚紗、婚禮、結婚、離婚
0938,媚,女,12,mèi,mei6〔味〕,第二學習階段,,2,千嬌百媚、明媚
0939,婿,女,12,xù,sai3〔世〕,第二學習階段,,2,女婿、夫婿
0940,媒,女,12,méi,mui4〔梅〕,第二學習階段,,4,媒介、媒體、多媒體、傳媒
0943,嫂,女,12,sɑ̌o,sou2〔素2〕,第一學習階段,,1,嫂子
0944,嫁,女,13,jiɑ̀,gaa3〔架〕,第二學習階段,,1,出嫁
0945,嫉,女,13,jí,zat6〔疾〕,第二學習階段,,1,嫉妒
0946,嫌,女,13,xiɑ́n,jim4〔炎〕,第二學習階段,,1,涉嫌
0948,媽,女,13,mɑ̄,maa1〔嗎〕,第一學習階段,,3,媽媽、舅母、舅媽
0949,媳,女,13,xí,sik1〔式〕,第二學習階段,,1,媳婦
0952,嫩,女,14,nèn,nyun6〔暖6〕,第二學習階段,,0,
0958,嬉,女,15,xī,hei1〔希〕,第二學習階段,,1,嬉戲
0962,嬌,女,15,jiɑ̄o,giu1〔驕〕,第一學習階段,,2,千嬌百媚、撒嬌
0967,嬰,女,17,yīng,jing1〔英〕,第一學習階段,,2,嬰兒、嬰孩
0968,嬸,女,18,shěn,sam2〔審〕,第一學習階段,,1,嬸嬸
0970,子,子,3,zǐ,zi2〔止〕,第二學習階段,①分母和分子 ②知識份子 / 知識分子,132,子女、子弟、子孫、子彈、一下子、一陣子、一輩子、刀子、丸子、叉子、女子、小伙子、分子、天子、太子、尺子、日子、王子、包子、句子、母子、石子、曲子、卵子、呆子、君子、夾子、村子、沙子、男子、肚子、身子、車子、例子、兔子、兒子、刷子、妻子、房子、果子、杯子、波子、法子、知識份子、知識分子、金子、亭子、孩子、屋子、柱子、架子、柚子、面子、個子、哨子、孫子、扇子、桔子、梳子、桌子、桃子、蚊子、釘子、院子、圈子、帶子、瓶子、盒子、笛子、脖子、被子、袖子、麥子、帽子、椅子、棒子、棋子、棍子、牌子、猴子、馬騮、童子、傻子、嗓子、園子、嫂子、椰子、毽子、獅子、筷子、腦子、葉子、葡萄、提子、裙子、過日子、電子、旗子、漢子、瘋子、碟子、種子、粽子、蓋子、餃子、鼻子、影子、樣子、盤子、瞎子、稿子、箱子、蓮子、調子、擔子、燕子、褲子、鴨子、膽子、鴿子、櫃子、繩子、鏡子、鬍子、爐子、籃子、辮子、襪子、騾子、攤子、籠子、驢子
0973,孔,子,4,kǒng,hung2〔恐〕,第一學習階段,,3,孔雀、面孔、鼻孔
0974,孕,子,5,yùn,jan6〔刃〕,第二學習階段,,1,懷孕
0975,字,子,6,zì,zi6〔自〕,第一學習階段,,19,字母、字形、字典、字帖、字眼、字樣、字體、十字架、文字、生字、名字、赤字、單字、萬字夾、曲別針、漢字、寫字樓、數字、識字
0976,存,子,6,cún,cyun4〔全〕,第一學習階段,,7,存在、存放、存款、生存、保存、貯存、儲存
0977,孝,子,7,xiɑ̀o,haau3〔酵3〕,第一學習階段,,2,孝順、孝敬
0981,孤,子,8,gū,gu1〔姑〕,第一學習階段,,3,孤立、孤兒、孤獨
0982,季,子,8,jì,gwai3〔貴〕,第一學習階段,,8,季軍、季節、冬季、四季、旺季、春季、秋季、夏季
0983,孩,子,9,hɑ́i,haai4〔鞋〕,第一學習階段,,5,孩子、女孩、小孩（兒）、男孩、嬰孩
0984,孫,子,10,sūn,syun1〔宣〕,第一學習階段,①孫子是兒子的兒子 ②《孫子兵法》,5,孫女（兒）、孫子、子孫、曾孫、曾孫女（兒）
0988,孵,子,14,fū,fu1〔夫〕,第一學習階段,,1,孵化
0989,學,子,16,xué,hok6〔鶴〕,第一學習階段,①在小學裏教學 ②教學的熱誠,46,學生、學年、學位、學者、學科、學員、學校、學院、學問、學堂、學習、學術、學期、學童、學費、學會、學業、學歷、學額、學識、學説、入學、上學、大學、小學、中學、化學、升學、文學、同學、自然科學、自學、求學、放學、科學、科學院、留學、教學、開學、遊學、數學、獎學金、輟學、儒學、講學、醫學
0993,它,宀,5,tɑ̄,taa1〔他〕,第一學習階段,,1,它們
0995,宇,宀,6,yǔ,jyu5〔羽〕,第一學習階段,,3,宇宙、屋宇、樓宇
0996,守,宀,6,shǒu,sau2〔手〕,第一學習階段,,9,守法、守信、守望相助、防守、保守、看守、盡忠職守、駐守、遵守
0997,宅,宀,6,zhɑ́i,zaak6〔摘〕,第一學習階段,,1,住宅
0998,安,宀,6,ɑ̄n,on1〔鞍〕,第一學習階段,①安心無憂 ②安心不良,18,安心、安全、安危、安定、安居樂業、安排、安然、安置、安裝、安寧、安慰、安靜、不安、公安、平安、平安夜、治安、保安
0999,完,宀,7,wɑ́n,jyun4〔元〕,第一學習階段,,6,完全、完成、完美、完畢、完善、完整
1001,宏,宀,7,hóng,wang4〔弘〕,第二學習階段,,1,宏偉
1002,宗,宀,8,zōng,zung1〔忠〕,第二學習階段,,2,宗旨、宗教
1003,定,宀,8,dìng,ding6〔丁6〕,第二學習階段,,31,定居、定義、定價、定點、一定、不一定、平定、必定、安定、否定、決定、協定、固定、肯定、指定、約定、訂定、特定、堅定、規定、預定、製定、制定、認定、確定、斷定、鎮定、穩定、鑒定、鑑定、説不定
1004,官,宀,8,guɑ̄n,gun1〔觀〕,第一學習階段,,7,官方、官立、官府、官員、法官、軍官、器官
1005,宜,宀,8,yí,ji4〔而〕,第二學習階段,,4,不宜、事宜、便宜、適宜
1006,宙,宀,8,zhòu,zau6〔就〕,第二學習階段,,1,宇宙
1008,宣,宀,9,xuɑ̄n,syun1〔孫〕,第一學習階段,,9,宣布、宣佈、宣告、宣言、宣揚、宣傳、宣稱、宣誓、宣讀
1010,室,宀,9,shì,sat1〔失〕,第二學習階段,,9,室內、室樂、王室、浴室、教室、課室、實驗室、辦公室、卧室
1012,客,宀,9,kè,haak3〔嚇〕,第一學習階段,,13,客人、客氣、客商、客運、客機、客廳、客觀、客户、乘客、旅客、遊客、請客、顧客
1013,宰,宀,10,zɑ̌i,zoi2〔載2〕,第二學習階段,,1,宰相
1014,家,宀,10,jiɑ̄,gaa1〔加〕,第一學習階段,①把書還給人家 ②數戶人家,36,家人、家私、家事、家具、家居、家長、家門、家家户户、家庭、家書、家畜、家務、家族、家喻户曉、家傳户曉、家鄉、家禽、家課、家屬、人家、大家、名家、回家、老人家、老家、作家、私家、皇家、酒家、國家、專家、無家可歸、畫家、買家、搬家、農家
1015,宴,宀,10,yɑ̀n,jin3〔燕〕,第一學習階段,,1,宴會
1016,宮,宀,10,gōng,gung1〔工〕,第二學習階段,,1,宮殿
1017,宵,宀,10,xiɑ̄o,siu1〔消〕,第一學習階段,,3,今宵、元宵、年宵
1018,害,宀,10,hɑ̀i,hoi6〔亥〕,第一學習階段,,16,害怕、害羞、害處、害蟲、危害、有害、利害、災害、受害、侵害、迫害、殺害、傷害、損害、禍害、厲害
1019,容,宀,10,róng,jung4〔戎〕,第一學習階段,,23,容忍、容易、容納、容許、容量、容器、容積、不容、內容、包容、好容易、好不容易、收容、形容、刻不容緩、美容、面容、臉容、笑容、陣容、從容、儀容、整容
1020,密,宀,11,mì,mat6〔勿〕,第一學習階段,,16,密切、密度、密密麻麻、密集、密碼、周密、保密、茂密、祕密、稠密、精密、緊密、緊鑼密鼓、濃密、親密、嚴密
1023,寄,宀,11,jì,gei3〔記〕,第一學習階段,,2,寄託、寄宿
1024,寂,宀,11,jì,zik6〔夕〕,第一學習階段,,3,寂寞、寂靜、沉寂
1025,宿,宀,11,sù；xiù,suk1〔叔〕；sau3〔秀〕,第二學習階段,,5,宿舍、宿營、住宿、星宿、寄宿
1026,寒,宀,12,hɑ́n,hon4〔韓〕,第二學習階段,,5,寒冷、寒風、寒假、禦寒、嚴寒
1027,富,宀,12,fù,fu3〔副〕,第二學習階段,,7,富有、富翁、富強、富裕、富豪、財富、豐富
1028,寓,宀,12,yù,jyu6〔裕〕,第一學習階段,,2,寓言、寓意
1030,寞,宀,14,mò,mok6〔莫〕,第一學習階段,,1,寂寞
1031,寧,宀,14,níng；nìng,ning4〔檸〕,第二學習階段,,4,寧可、寧靜、寧願、安寧
1032,寡,宀,14,guɑ̌,gwaa2〔瓜2〕,第二學習階段,,2,寡婦、多寡
1035,實,宀,14,shí,sat6〔失6〕,第一學習階段,,36,實力、實用、實地、實在、實行、實事求是、實例、實物、實施、實現、實習、實話、實際、實質、實踐、實驗、實驗室、切實、扎實、充實、名副其實、老實、事實、事實上、其實、忠實、果實、真實、現實、結實、落實、誠實、確實、踏實、樸實、證實
1038,察,宀,14,chɑ́,caat3〔刷〕,第一學習階段,,9,察看、察覺、考察、偵察、視察、監察、檢察、警察、觀察
1040,寬,宀,15,kuɑ̄n,fun1〔歡〕,第一學習階段,,8,寬大、寬免、寬恕、寬敞、寬廣、寬闊、寬鬆、放寬
1041,審,宀,15,shěn,sam2〔嬸〕,第二學習階段,,6,審判、審查、審美、審理、審慎、評審
1042,寫,宀,15,xiě,se2〔捨〕,第一學習階段,,8,寫生、寫字樓、寫作、寫意、書寫、描寫、編寫、譜寫
1043,寵,宀,19,chǒng,cung2〔冢〕,第一學習階段,,1,寵物
1044,寶,宀,20,bɑ̌o,bou2〔保〕,第一學習階段,,9,寶玉、寶石、寶貝、寶庫、寶貴、寶藏、珍寶、珠寶、瑰寶
1045,寸,寸,3,cùn,cyun3〔串〕,第一學習階段,,1,尺寸
1046,寺,寸,6,sì,zi6〔治〕,第一學習階段,,1,寺廟
1047,封,寸,9,fēng,fung1〔風〕,第一學習階段,,8,封面、封閉、封鎖、冰封、信封、紅封包、利是、利市
1048,射,寸,10,shè,se6〔麝〕,第一學習階段,,12,射擊、反射、折射、放射、注射、發射、照射、噴射、輻射、鐳射、雷射、激光
1050,專,寸,11,zhuɑ̄n,zyun1〔尊〕,第一學習階段,,19,專人、專上院校、專心、專心致志、專利、專注、專長、專門、專政、專科、專家、專案、專程、專業、專線、專輯、專題、專欄、大專
1051,將,寸,11,jiɑ̄ng；jiɑ̀ng,zoeng1〔張〕；zoeng3〔漲〕,第二學習階段,①將要、將門關上 ②將士,8,將來、將近、將要、將軍、大將、名將、即將、武將
1052,尊,寸,12,zūn,zyun1〔專〕,第一學習階段,,5,尊重、尊貴、尊敬、尊嚴、自尊
1053,尋,寸,12,xún,cam4〔沉〕,第一學習階段,,7,尋找、尋求、尋常、尋覓、找尋、耐人尋味、追尋
1054,對,寸,14,duì,deoi3〔兑〕,第一學習階段,,29,對不起、對手、對方、對比、對付、對外、對立、對抗、對角、對岸、對於、對待、對面、對症下藥、對象、對準、對照、對話、對稱、對調、不對、反對、派對、相對、面對、針對、絕對、敵對、應對
1055,導,寸,16,dɑ̌o,dou6〔杜〕,第一學習階段,,14,導致、導師、導遊、導演、導彈、引導、主導、指導、教導、誤導、輔導、領導、編導、嚮導
1056,小,小,3,xiɑ̌o,siu2〔蕭2〕,第一學習階段,,40,小丑、小巴、小心、小心翼翼、小巧、小伙子、小吃、小食、小兒、小姐、小朋友、小便、小孩（兒）、小息、小時、小偷、小組、小販、小麥、小提琴、小童、小菜、小費、小量、小路、小數、小數點、小輪、小學、小説、大小、大街小巷、幼小、狹小、從小、細小、渺小、微小、矮小、縮小
1057,少,小,4,shɑ̌o；shɑ̀o,siu2〔小〕；siu3〔笑〕,第一學習階段,①多少 ②少年,14,少女、少不了、少年、少許、少量、少數、不少、多少、至少、男女老少、男女老幼、缺少、減少、稀少
1058,尖,小,6,jiɑ̄n,zim1〔占〕,第一學習階段,,2,尖鋭、筆尖
1059,尚,小,8,shɑ̀ng,soeng6〔上6〕,第一學習階段,,2,和尚、高尚
1060,尤,尢,4,yóu,jau4〔由〕,第二學習階段,,1,尤其
1062,就,尢,12,jiù,zau6〔宙〕,第一學習階段,①放心就是了 ②就是在逆境中，也不應放棄,7,就地、就是、就業、就算、就讀、成就、遷就
1065,尺,尸,4,chǐ,cek3〔雌石3〕,第一學習階段,,5,尺子、尺寸、尺碼、公尺、直尺
1066,尼,尸,5,ní,nei4〔妮〕,第二學習階段,,2,尼龍、僧尼
1067,局,尸,7,jú,guk6〔焗〕,第一學習階段,,9,局面、局部、局勢、大局、全局、書局、結局、郵局、當局
1068,屁,尸,7,pì,pei3〔譬〕,第一學習階段,,1,屁股
1069,尿,尸,7,niɑ̀o,niu6〔鳥6〕,第一學習階段,,1,糖尿病
1070,尾,尸,7,wěi,mei5〔美〕,第一學習階段,,3,尾巴、結尾、爛尾
1071,居,尸,8,jū,geoi1〔舉1〕,第一學習階段,,10,居民、居住、居屋、居然、安居樂業、定居、家居、移居、聚居、鄰居
1072,屆,尸,8,jiè,gaai3〔介〕,第二學習階段,,1,屆時
1073,屈,尸,8,qū,wat1〔鬱〕,第二學習階段,,4,屈服、屈辱、委屈、首屈一指
1074,屎,尸,9,shǐ,si2〔史〕,第一學習階段,,0,
1075,屏,尸,9,píng,ping4〔平〕,第一學習階段,,3,屏幕、屏障、顯示屏
1076,屍,尸,9,shī,si1〔司〕,第二學習階段,,1,屍體
1077,屋,尸,9,wū,uk1〔谷[不讀聲母]〕,第一學習階段,,11,屋子、屋宇、屋簷、屋邨、屋村、公屋、木屋、居屋、房屋、茅屋、臨屋
1078,展,尸,10,zhɑ̌n,zin2〔剪〕,第一學習階段,,17,展示、展品、展翅、展望、展現、展開、展銷、展覽、伸展、施展、書展、推展、發展、舒展、進展、開展、擴展
1079,屑,尸,10,xiè,sit3〔洩〕,第二學習階段,,1,紙屑
1081,屠,尸,11,tú,tou4〔徒〕,第二學習階段,,1,屠殺
1082,屜,尸,11,tì,tai3〔替〕,第二學習階段,,1,抽屜
1083,屢,尸,14,lǚ,leoi5〔旅〕,第二學習階段,,0,
1084,層,尸,15,céng,cang4〔初鶯4〕,第一學習階段,,9,層出不窮、層次、下層、上層、高層、基層、階層、雲層、巖層
1085,履,尸,15,lǚ,lei5〔李〕,第二學習階段,,1,履行
1086,屬,尸,21,shǔ,suk6〔熟〕,第二學習階段,,7,屬下、屬土、屬於、金屬、附屬、家屬、歸屬感
1088,山,山,3,shɑ̄n,saan1〔刪〕,第一學習階段,,34,山川、山水、山火、山地、山羊、山谷、山坡、山岡、山林、山泥、山洞、山脈、山區、山野、山腰、山腳、山路、山頭、山嶺、山嶽、山麓、山巒、山峯、上山、火山、江山、爬山、青山、高山、深山、登山、愚公移山、過山車、遠山
1089,屹,山,6,yì,ngat6〔迄〕,第二學習階段,,1,屹立
1095,岸,山,8,ɑ̀n,ngon6〔我安6〕,第一學習階段,,5,兩岸、彼岸、沿岸、海岸、對岸
1097,岡,山,8,gɑ̄ng,gong1〔江〕,第一學習階段,,1,山岡
1100,岳,山,8,yuè,ngok6〔鱷〕,第二學習階段,,2,岳父、岳母
1102,峽,山,10,xiɑ́,haap6〔狹〕,第二學習階段,,2,峽谷、海峽
1103,峭,山,10,qiɑ̀o,ciu3〔肖〕,第二學習階段,,1,陡峭
1104,峻,山,10,jùn,zeon3〔進〕,第二學習階段,,1,嚴峻
1107,峯,山,10,fēng,fung1〔風〕,第一學習階段,,2,山峯、高峯
1108,島,山,10,dɑ̌o,dou2〔賭〕,第一學習階段,,4,島嶼、半島、海島、羣島
1109,崇,山,11,chóng,sung4〔送4〕,第二學習階段,,2,崇拜、崇高
1111,崎,山,11,qí,kei1〔畸〕,第二學習階段,,1,崎嶇
1112,崛,山,11,jué,gwat6〔掘〕,第二學習階段,,1,崛起
1113,崖,山,11,yɑ́,ngaai4〔捱〕,第二學習階段,,1,懸崖
1115,崩,山,11,bēng,bang1〔蹦〕,第二學習階段,,1,崩潰
1122,嶄,山,14,zhɑ̌n,zaam2〔斬〕；zaam3〔湛〕,第二學習階段,,2,嶄新、嶄露頭角
1123,嶇,山,14,qū,keoi1〔拘〕,第二學習階段,,1,崎嶇
1125,嶼,山,16,yǔ,zeoi6〔序〕,第二學習階段,,1,島嶼
1126,嶺,山,17,lǐng,ling5〔領〕,第二學習階段,,1,山嶺
1127,嶽,山,17,yuè,ngok6〔岳〕,第二學習階段,,1,山嶽
1129,巒,山,22,luɑ́n,lyun4〔聯〕,第一學習階段,,1,山巒
1131,巖,山,23,yɑ́n,ngaam4〔癌〕,第二學習階段,,2,巖石、巖層
1132,川,巛,3,chuɑ̄n,cyun1〔村〕,第二學習階段,,1,山川
1133,州,巛,6,zhōu,zau1〔周〕,第二學習階段,,1,廣州
1134,巢,巛,11,chɑ́o,caau4〔抄4〕,第一學習階段,,0,
1135,工,工,3,gōng,gung1〔公〕,第一學習階段,,34,工人、工友、工夫、工匠、工地、工作、工序、工具、工商業、工場、工程、工程師、工會、工業、工業邨、工資、工廠、工潮、工錢、工藝、人工、分工、手工、加工、打工、民工、社工、施工、員工、做工、勞工、竣工、罷工、職工
1136,巨,工,5,jù,geoi6〔具〕,第一學習階段,,3,巨人、巨大、艱巨
1137,巧,工,5,qiɑ̌o,haau2〔考〕,第一學習階段,,12,巧妙、朱古力、巧克力、七巧板、小巧、正巧、技巧、乖巧、湊巧、精巧、輕巧、靈巧
1138,左,工,5,zuǒ,zo2〔阻〕,第一學習階段,,3,左右、左鄰右舍、左鄰右里
1139,巫,工,7,wū,mou4〔毛〕,第一學習階段,,2,巫師、巫婆
1140,差,工,10,chɑ̀；chɑ̄；chɑ̄i,caa1〔叉〕；caai1〔猜〕,第一學習階段,①差不多、質量差 ②差異 ③差遣,11,差不多、差別、差異、差距、差餉、差點（兒）、相差、時差、偏差、郵差、誤差
1141,己,己,3,jǐ,gei2〔紀〕,第二學習階段,,1,自己
1142,已,己,3,yǐ,ji5〔以〕,第一學習階段,,6,已經、經已、不已、不得已、早已、而已
1144,巴,己,4,bɑ̄,baa1〔爸〕,第一學習階段,,6,巴士、公共汽車、下巴、小巴、尾巴、嘴巴
1145,巷,己,9,xiɑ̀ng,hong6〔項〕,第二學習階段,,1,大街小巷
1147,巾,巾,3,jīn,gan1〔斤〕,第一學習階段,,2,毛巾、圍巾
1148,市,巾,5,shì,si5〔時5〕,第一學習階段,,17,市民、市政、市面、市區、市場、市鎮、上市、收市、股市、花市、城市、紅封包、利是、利市、都市、超級市場、開市
1149,布,巾,5,bù,bou3〔佈〕,第一學習階段,,19,布偶、布景、佈景、布置、佈置、公布、公佈、分佈、分布、宣布、宣佈、散佈、散布、發布、發佈、絨布、頒佈、頒布、瀑布
1150,帆,巾,6,fɑ̄n,faan4〔凡〕,第二學習階段,,1,帆船
1151,希,巾,7,xī,hei1〔欺〕,第一學習階段,,1,希望
1153,帚,巾,8,zhǒu,zaau2〔爪〕,第一學習階段,,1,掃帚
1154,帖,巾,8,tiè；tiě,tip3〔貼〕,第一學習階段,,2,字帖、請帖
1157,帕,巾,8,pɑ̀,paak3〔拍〕,第一學習階段,,1,手帕
1158,帝,巾,9,dì,dai3〔締〕,第一學習階段,,4,帝王、帝國、上帝、皇帝
1159,帥,巾,9,shuɑ̀i,seoi3〔税〕,第一學習階段,,1,元帥
1160,席,巾,10,xí,zik6〔直〕,第二學習階段,,7,一席之地、主席、出席、首席、缺席、酒席、筵席
1161,師,巾,10,shī,si1〔司〕,第一學習階段,,17,師生、師長、師傅、師資、師範、大律師、大師、工程師、老師、巫師、牧師、律師、教師、廚師、導師、講師、騎師
1162,帶,巾,11,dɑ̀i,daai3〔戴〕,第一學習階段,,13,帶子、帶動、帶領、帶頭、一帶、皮帶、地帶、絲帶、腰帶、磁帶、領帶、熱帶、攜帶
1163,帳,巾,11,zhɑ̀ng,zoeng3〔賬〕,第二學習階段,,3,帳目、賬目、帳幕
1164,常,巾,11,chɑ́ng,soeng4〔嘗〕,第一學習階段,,16,常用、常務、常常、常識、反常、日常、平常、正常、往常、非常、時常、異常、通常、尋常、照常、經常
1166,幅,巾,12,fú,fuk1〔福〕,第一學習階段,,2,幅度、篇幅
1167,帽,巾,12,mɑ̀o,mou6〔冒〕,第一學習階段,,1,帽子
1171,幣,巾,14,bì,bai6〔敝〕,第一學習階段,,6,人民幣、外幣、紙幣、貨幣、港幣、硬幣
1172,幕,巾,14,mù,mok6〔莫〕,第一學習階段,,8,幕前、幕後、屏幕、帳幕、閉幕、開幕、熒幕、銀幕
1175,幢,巾,15,zhuɑ̀ng,zong6〔狀〕,第二學習階段,,0,
1176,幟,巾,15,zhì,ci3〔次〕,第二學習階段,,1,旗幟
1177,幫,巾,17,bɑ̄ng,bong1〔邦〕,第一學習階段,,2,幫忙、幫助
1178,干,干,3,gɑ̄n,gon1〔肝〕,第二學習階段,,4,干涉、干預、干擾、若干
1179,平,干,5,píng,ping4〔坪〕,第一學習階段,,35,平凡、平分、平手、平方、平方米、平日、平台、平民、平地、平安、平安夜、平行、平均、平和、平坦、平定、平面、平原、平時、平常、平淡、平等、平滑、平整、平衡、平靜、平穩、不平、公平、太平、水平、生平、和平、和平共處、忿忿不平
1181,年,干,6,niɑ́n,nin4〔那連4〕,第一學習階段,①當年離家的時候 ②水壩當年修成，當年就給洪水沖毀了,37,年代、年份、年底、年花、年青、年度、年紀、年宵、年級、年期、年畫、年輕、年頭、年齡、中年、少年、去年、幼年、末年、成年、老年、來年、周年、週年、近年、青年、拜年、晚年、終年、童年、閏年、新年、當年、過年、嘉年華、學年、歷年
1182,幸,干,8,xìng,hang6〔杏〕,第二學習階段,,7,幸好、幸而、幸運、幸福、幸虧、不幸、有幸
1183,幹,干,13,gɑ̀n,gon3〔肝3〕,第一學習階段,,9,幹勁、幹活（兒）、幹線、幹警、才幹、能幹、骨幹、樹榦、樹幹
1185,幻,幺,4,huɑ̀n,waan6〔患〕,第二學習階段,,1,幻想
1186,幼,幺,5,yòu,jau3〔優3〕,第一學習階段,,9,幼小、幼年、幼兒、幼兒園、幼苗、幼稚、幼稚園、男女老少、男女老幼
1187,幽,幺,9,yōu,jau1〔休〕,第二學習階段,,2,幽雅、幽默
